   0.0 TEL | Telepresence 0.105 launched at Mon May 25 16:09:42 2020
   6.8 TEL | [18] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   7.1 TEL | [18] captured in 0.28 secs.
   7.4 TEL | [19] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   7.7 TEL | [19] captured in 0.28 secs.
   7.9 TEL | [20] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   8.2 TEL | [20] captured in 0.27 secs.
   8.4 TEL | [21] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   8.7 TEL | [21] captured in 0.26 secs.
   8.9 TEL | [22] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   9.2 TEL | [22] captured in 0.26 secs.
   9.5 TEL | [23] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   9.8 TEL | [23] captured in 0.34 secs.
  10.1 TEL | [24] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  10.3 TEL | [24] captured in 0.26 secs.
  10.6 TEL | [25] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  10.8 TEL | [25] captured in 0.27 secs.
  11.1 TEL | [26] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  11.4 TEL | [26] captured in 0.26 secs.
  11.6 TEL | [27] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  11.9 TEL | [27] captured in 0.26 secs.
  12.1 TEL | [28] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  12.4 TEL | [28] captured in 0.27 secs.
  12.6 TEL | [29] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  12.9 TEL | [29] captured in 0.26 secs.
  13.2 TEL | [30] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  13.4 TEL | [30] captured in 0.26 secs.
  13.7 TEL | [31] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  13.9 TEL | [31] captured in 0.26 secs.
  14.2 TEL | [32] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  14.5 TEL | [32] captured in 0.26 secs.
  14.7 TEL | [33] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  15.0 TEL | [33] captured in 0.26 secs.
  15.2 TEL | [34] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  15.5 TEL | [34] captured in 0.26 secs.
  15.7 TEL | [35] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  16.0 TEL | [35] captured in 0.26 secs.
  16.2 TEL | [36] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  16.5 TEL | [36] captured in 0.27 secs.
  16.8 TEL | [37] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  17.0 TEL | [37] captured in 0.26 secs.
  17.3 TEL | [38] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  17.7 TEL | [38] captured in 0.37 secs.
  17.9 TEL | [39] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  18.2 TEL | [39] captured in 0.26 secs.
  18.4 TEL | [40] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  18.7 TEL | [40] captured in 0.26 secs.
  18.9 TEL | [41] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  19.3 TEL | [41] captured in 0.33 secs.
  19.5 TEL | [42] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  19.8 TEL | [42] captured in 0.27 secs.
  20.0 TEL | [43] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  20.3 TEL | [43] captured in 0.25 secs.
  20.5 TEL | [44] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  20.8 TEL | [44] captured in 0.27 secs.
  21.1 TEL | [45] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  21.4 TEL | [45] captured in 0.35 secs.
  21.7 TEL | [46] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
  22.0 TEL | [46] captured in 0.37 secs.
  22.0 TEL | END SPAN remote.py:104(wait_for_pod)   17.9s
  22.0 TEL | END SPAN remote.py:142(get_remote_info)   18.6s
  22.0 TEL | BEGIN SPAN connect.py:37(connect)
  22.0 TEL | [47] Launching kubectl logs: kubectl --context zhongtai-k8s --namespace default logs -f telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq --container telepresence-1590394182-539615-13442 --tail=10
  22.0 TEL | [48] Launching kubectl port-forward: kubectl --context zhongtai-k8s --namespace default port-forward telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq 55423:8022
  22.0 TEL | [49] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 55423 telepresence@127.0.0.1 /bin/true
  22.1 TEL | [49] exit 255 in 0.04 secs.
  22.3 TEL | [50] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 55423 telepresence@127.0.0.1 /bin/true
  22.4 TEL | [50] exit 255 in 0.04 secs.
  22.5  48 | Forwarding from 127.0.0.1:55423 -> 8022
  22.5  48 | Forwarding from [::1]:55423 -> 8022
  22.6  47 | 2020-05-25T08:10:04+0000 [-] Loading ./forwarder.py...
  22.6  47 | 2020-05-25T08:10:04+0000 [-] /etc/resolv.conf changed, reparsing
  22.6  47 | 2020-05-25T08:10:04+0000 [-] Resolver added ('10.55.0.2', 53) to server list
  22.6  47 | 2020-05-25T08:10:04+0000 [-] SOCKSv5Factory starting on 9050
  22.6  47 | 2020-05-25T08:10:04+0000 [socks.SOCKSv5Factory#info] Starting factory <socks.SOCKSv5Factory object at 0x7f6a038bc198>
  22.6  47 | 2020-05-25T08:10:04+0000 [-] DNSDatagramProtocol starting on 9053
  22.6  47 | 2020-05-25T08:10:04+0000 [-] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bc470>
  22.6  47 | 2020-05-25T08:10:04+0000 [-] Loaded.
  22.6  47 | 2020-05-25T08:10:04+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] twistd 20.3.0 (/usr/bin/python3.6 3.6.8) starting up.
  22.6  47 | 2020-05-25T08:10:04+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] reactor class: twisted.internet.epollreactor.EPollReactor.
  22.6 TEL | [51] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 55423 telepresence@127.0.0.1 /bin/true
  22.7  48 | Handling connection for 55423
  22.9 TEL | [51] ran in 0.29 secs.
  22.9 >>> | 
  22.9 >>> | No traffic is being forwarded from the remote Deployment to your local machine. You can use the --expose option to specify which ports you want to forward.
  22.9 >>> | 
  22.9 TEL | Launching Web server for proxy poll
  22.9 TEL | [52] Launching SSH port forward (socks and proxy poll): ssh -N -oServerAliveInterval=1 -oServerAliveCountMax=10 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 55423 telepresence@127.0.0.1 -L127.0.0.1:55434:127.0.0.1:9050 -R9055:127.0.0.1:55435
  22.9 TEL | END SPAN connect.py:37(connect)    0.9s
  22.9 TEL | BEGIN SPAN remote_env.py:29(get_remote_env)
  22.9 TEL | [53] Capturing: kubectl --context zhongtai-k8s --namespace default exec telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq --container telepresence-1590394182-539615-13442 -- python3 podinfo.py
  22.9  48 | Handling connection for 55423
  23.4 TEL | [53] captured in 0.46 secs.
  23.4 TEL | END SPAN remote_env.py:29(get_remote_env)    0.5s
  23.4 TEL | BEGIN SPAN mount.py:30(mount_remote_volumes)
  23.4 TEL | [54] Running: sshfs -p 55423 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null telepresence@127.0.0.1:/ /tmp/tel-tkcbv35t/fs
  23.5  48 | Handling connection for 55423
  23.6 TEL | [54] ran in 0.23 secs.
  23.6 TEL | END SPAN mount.py:30(mount_remote_volumes)    0.2s
  23.6 TEL | BEGIN SPAN vpn.py:280(connect_sshuttle)
  23.6 TEL | BEGIN SPAN vpn.py:77(get_proxy_cidrs)
  23.6 TEL | [55] Capturing: kubectl --context zhongtai-k8s --namespace default get nodes -o json
  24.0 TEL | [55] captured in 0.37 secs.
  24.0 TEL | [56] Capturing: kubectl --context zhongtai-k8s --namespace default get services -o json
  24.3 TEL | [56] captured in 0.31 secs.
  24.3 >>> | Guessing that Services IP range is 10.55.0.0/16. Services started after this point will be inaccessible if are outside this range; restart telepresence if you can't access a new Service.
  24.3 TEL | END SPAN vpn.py:77(get_proxy_cidrs)    0.7s
  24.3 TEL | [57] Launching sshuttle: sshuttle-telepresence -v --dns --method auto -e 'ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null' -r telepresence@127.0.0.1:55423 --to-ns 127.0.0.1:9053 172.23.4.0/24 10.55.0.0/16 172.23.9.0/24 172.23.1.0/24 172.23.3.0/24 172.23.8.0/24 172.23.6.0/24 172.23.0.0/24 172.23.5.0/24 172.23.7.0/24 172.23.2.0/24
  24.3 TEL | BEGIN SPAN vpn.py:303(connect_sshuttle,sshuttle-wait)
  24.3 TEL | Wait for vpn-tcp connection: hellotelepresence-0
  24.3 TEL | [58] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0")'
  24.9  57 | Starting sshuttle proxy.
  25.4 TEL | [58] exit 1 in 1.13 secs.
  25.4 TEL | [59] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0.a.sanity.check.telepresence.io")'
  25.5 TEL | [59] exit 1 in 0.08 secs.
  25.6 TEL | Wait for vpn-tcp connection: hellotelepresence-1
  25.6 TEL | [60] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1")'
  26.1  57 | firewall manager: Starting firewall with Python version 3.7.7
  26.1  57 | firewall manager: ready method name pf.
  26.1  57 | IPv6 enabled: True
  26.1  57 | UDP enabled: False
  26.1  57 | DNS enabled: True
  26.1  57 | TCP redirector listening on ('::1', 12300, 0, 0).
  26.1  57 | TCP redirector listening on ('127.0.0.1', 12300).
  26.1  57 | DNS listening on ('::1', 12300, 0, 0).
  26.1  57 | DNS listening on ('127.0.0.1', 12300).
  26.1  57 | Starting client with Python version 3.7.7
  26.1  57 | c : connecting to server...
  26.1  48 | Handling connection for 55423
  26.2  57 | Warning: Permanently added '[127.0.0.1]:55423' (ECDSA) to the list of known hosts.
  26.4  57 | Starting server with Python version 3.6.8
  26.4  57 |  s: latency control setting = True
  26.4  57 |  s: available routes:
  26.4  57 |  s:   2/172.23.0.0/16
  26.4  57 |  s:   2/172.23.7.0/24
  26.4  57 | c : Connected.
  26.4  57 | firewall manager: setting up.
  26.4  57 | >> pfctl -s Interfaces -i lo -v
  26.4  57 | >> pfctl -s all
  26.4  57 | >> pfctl -a sshuttle6-12300 -f /dev/stdin
  26.4  57 | >> pfctl -E
  26.4  57 | >> pfctl -s Interfaces -i lo -v
  26.4  57 | >> pfctl -s all
  26.4  57 | >> pfctl -a sshuttle-12300 -f /dev/stdin
  26.4  57 | >> pfctl -E
  26.7 TEL | [60] exit 1 in 1.11 secs.
  26.7 TEL | [61] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1.a.sanity.check.telepresence.io")'
  26.7  57 | c : DNS request from ('10.40.42.169', 52548) to None: 59 bytes
  26.7  57 | c : DNS request from ('10.40.42.169', 56593) to None: 58 bytes
  26.8  57 | c : DNS request from ('10.40.42.169', 57791) to None: 68 bytes
  26.8 TEL | [61] exit 1 in 0.13 secs.
  26.9 TEL | Wait for vpn-tcp connection: hellotelepresence-2
  27.0 TEL | [62] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2")'
  27.0  47 | 2020-05-25T08:10:09+0000 [stdout#info] 12 query: b'lb._dns-sd._udp.0.99.168.192.in-addr.arpa'
  27.0  47 | 2020-05-25T08:10:09+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 36751
  27.0  47 | 2020-05-25T08:10:09+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bcc50>
  27.0  47 | 2020-05-25T08:10:09+0000 [stdout#info] 12 query: b'b._dns-sd._udp.0.99.168.192.in-addr.arpa'
  27.0  47 | 2020-05-25T08:10:09+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 25176
  27.0  47 | 2020-05-25T08:10:09+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bceb8>
  27.0  47 | 2020-05-25T08:10:09+0000 [stdout#info] Sanity check: b'hellotelepresence-1.a.sanity.check.telepresence.io'
  27.0  47 | 2020-05-25T08:10:09+0000 [-] (UDP Port 25176 Closed)
  27.0  47 | 2020-05-25T08:10:09+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bceb8>
  27.0  47 | 2020-05-25T08:10:09+0000 [-] (UDP Port 36751 Closed)
  27.0  47 | 2020-05-25T08:10:09+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bcc50>
  27.0  57 | c : DNS request from ('10.40.42.169', 51375) to None: 37 bytes
  27.0 TEL | [62] captured in 0.07 secs.
  27.0 TEL | Resolved hellotelepresence-2. 2 more...
  27.0 TEL | [63] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2.a.sanity.check.telepresence.io")'
  27.1  57 | c : DNS request from ('10.40.42.169', 58687) to None: 68 bytes
  27.1 TEL | [63] exit 1 in 0.07 secs.
  27.2 TEL | Wait for vpn-tcp connection: hellotelepresence-3
  27.2 TEL | [64] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3")'
  27.2  47 | 2020-05-25T08:10:09+0000 [stdout#info] Set DNS suffix we filter out to: [()]
  27.2  47 | 2020-05-25T08:10:09+0000 [stdout#info] Result for b'hellotelepresence-2' is ['127.0.0.1']
  27.2  47 | 2020-05-25T08:10:09+0000 [stdout#info] Sanity check: b'hellotelepresence-2.a.sanity.check.telepresence.io'
  27.2  57 | c : DNS request from ('10.40.42.169', 50876) to None: 37 bytes
  27.3 TEL | [64] captured in 0.07 secs.
  27.3 TEL | Resolved hellotelepresence-3. 1 more...
  27.3 TEL | [65] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3.a.sanity.check.telepresence.io")'
  27.3  57 | c : DNS request from ('10.40.42.169', 55184) to None: 68 bytes
  27.3 TEL | [65] exit 1 in 0.07 secs.
  27.4 TEL | Wait for vpn-tcp connection: hellotelepresence-4
  27.4 TEL | [66] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4")'
  27.5  47 | 2020-05-25T08:10:09+0000 [stdout#info] Result for b'hellotelepresence-3' is ['127.0.0.1']
  27.5  47 | 2020-05-25T08:10:09+0000 [stdout#info] Sanity check: b'hellotelepresence-3.a.sanity.check.telepresence.io'
  27.5  57 | c : DNS request from ('10.40.42.169', 53455) to None: 37 bytes
  27.5 TEL | [66] captured in 0.07 secs.
  27.5 TEL | Resolved hellotelepresence-4. 0 more...
  27.5 TEL | END SPAN vpn.py:303(connect_sshuttle,sshuttle-wait)    3.2s
  27.5 TEL | END SPAN vpn.py:280(connect_sshuttle)    3.9s
  27.5 >>> | Connected. Flushing DNS cache.
  27.5 TEL | [67] Running: sudo -n /usr/bin/pkill -HUP mDNSResponder
  27.6 TEL | [67] ran in 0.06 secs.
  27.6  57 | c : DNS request from ('10.40.42.169', 51909) to None: 57 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 60253) to None: 57 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 57880) to None: 56 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 49642) to None: 58 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 59332) to None: 58 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 52548) to None: 59 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 53459) to None: 57 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 64873) to None: 58 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 56828) to None: 57 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 57192) to None: 58 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 56593) to None: 58 bytes
  27.6  57 | c : DNS request from ('10.40.42.169', 56265) to None: 59 bytes
  27.7  57 | c : DNS request from ('10.40.42.169', 54451) to None: 23 bytes
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] Result for b'hellotelepresence-4' is ['127.0.0.1']
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'lb._dns-sd._udp.0.40.40.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 29970
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bce80>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'db._dns-sd._udp.0.40.40.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 50831
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bca90>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'b._dns-sd._udp.0.40.40.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 13005
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6208>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'lb._dns-sd._udp.0.55.211.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 22084
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6438>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'lb._dns-sd._udp.0.129.37.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 8577
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6668>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'lb._dns-sd._udp.0.99.168.192.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 27882
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6898>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'b._dns-sd._udp.0.55.211.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 24393
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6ac8>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'db._dns-sd._udp.0.55.211.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 29754
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6cf8>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'b._dns-sd._udp.0.129.37.10.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 63923
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6f28>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'db._dns-sd._udp.0.129.37.10.in-addr.arpa'
